Overall Rating,Comments,Feedback Category
Satisfied,"Are we supposed to be charging tax? I noticed that it is added, where does that money come from? I didn't charge my parents tax so am I going to have to pay that?",Price
Satisfied,Form letters to print for parents are plain compared to the parent flyer in the catalog.,All Other
Very Satisfied,Easy to maneuver,Thanks/Praise
Satisfied,"Took a while to figure how to use the site as a parent, rather than the educator. I'm still unsure how I did it.",Website- General Comment/Navigation
Very Satisfied,Thanks for providing affordable books for my students!,Thanks/Praise
Very Satisfied,Wonderful Customer Service,Thanks/Praise
Satisfied,Haven't had a chance to look yet.,All Other
Neutral,Glad to help my daughter's classroom and our library!,Thanks/Praise
Neutral,I know the books I would like to purchase and I can't get them b/c they are not available.....,Products Offered/ Availability
Satisfied,I miss the 10 for 10 $,Price
Very Satisfied,This website is terrific.,Thanks/Praise
Very Satisfied,It's disappointing that we can't use bonus points toward Bday Certificates.,Products Offered/ Availability
Neutral,make it easier to find teachers my sons school isnt even on here,Connecting Teacher/Class Code
Very Satisfied,"Very easy process, easy to use and straightforward.",Thanks/Praise
Satisfied,Searching for books is hard,Website- Filter/Search Options
Neutral,"It was difficult to find the correct way in which to contact you in regards to receiving catalogues. I updated my profile at the end of last year, as requested, and had to do it again in order to receive my catalogues (at least I hope they are coming).",Kits
Satisfied,Struggles finding the flyer or item wanted at first.,Website- Filter/Search Options
Satisfied,I wish you carried Dr. Seuss books.,Products Offered/ Availability
Very Satisfied,Easy to  Use,Website- General Comment/Navigation
Neutral,Hard to figure out where to go.,Website- General Comment/Navigation
Satisfied,Good selection - easy check out.,Thanks/Praise
Neutral,I received an email saying I needed to submit a student order but was unable to find one on my site.,Website- General Comment/Navigation
Satisfied,Browsing now to review final list with my daughter and husband.,Intend To Order in Future
Neutral,Lack of coupon codes,Price
Very Satisfied,I am a STEM/Library teacher for a k-8 school. There was an accurate description for me to use in the profile set up.,Thanks/Praise
Very Satisfied,Site was easy to use.,Thanks/Praise
Disappointed,I wish it were easier to maneuver around the website.,Website- General Comment/Navigation
Neutral,"I'm still nervous about your site-last year's delays caused issues in parent relations from the beginning of school. Additionally, I never received books that I purchased- which were a promotion and the reason I spent extra money, as a part of the  spend $100 to purchase section. I am hoping for a better year since I have used you for  9+ years.",Prior Year Shipping Delay
Satisfied,"More variety of books online.  Fustrating when a book is available in a pack, but not as a single (sons have other books in pack already).",Products Offered/ Availability
Neutral,"It would no let me order from a ""Book Club"" without Teacher's code.  Teacher is new and does not have a code... Nor could I look her up.  Verify frustrating.",Connecting Teacher/Class Code
Very Satisfied,Love it!!,Thanks/Praise
Very Satisfied,I love that I am able to connect both of my children with their teachers for an easy checkout!,Thanks/Praise
Satisfied,Can’t tell if last order from last year was completed or not. Only says when order was put it. Not when it was completed/delivered/fulfilled,All Other
Very Satisfied,I love being able to do this online vs the paper handouts.,Thanks/Praise
Very Satisfied,Easy,Thanks/Praise
Neutral,Should automatically go back to where you were browsing when either done adding a book to your cart or closing the pop up when you are done looking at a book.,Website- General Comment/Navigation
Satisfied,After I signed and I deleted my cart,Website- General Comment/Navigation
Neutral,I'm storms mother teonna green,All Other
Very Satisfied,"I stopped ordering last year after it took forever for the books to be delivered. I am starting again this year in the hopes that delivery will be quick, as it was in the past, before the delivery issues.",Prior Year Shipping Delay
Neutral,"I was prompted to take a survey after I was done shopping. However, as soon as I clicked the yes button, I was taken from the shopping page and couldn’t get back.",Website- Survey Pop Up Issue
Satisfied,"I want to buy books from the catalogs and the Scholastic website , but it won't let me search for certain books and combine shipping.",Website- Filter/Search Options
Neutral,I am planning on checking out but the survey came up before I had a chance,Website- Survey Pop Up Issue
Very Satisfied,Easy to use,Thanks/Praise
Satisfied,Glitchy,Website- General Comment/Navigation
Neutral,great site!,Thanks/Praise
Very Satisfied,Very easy,Thanks/Praise
Satisfied,Was easy to find specific books from catalog and also from a quick key word search.,Thanks/Praise
Very Satisfied,"Overall, we always find wonderful items. I have noticed some of the prices are nearly double what they are in stores or other retailers.",Price
Neutral,It is always hard to find how to spend the reward moneu,Products Offered/ Availability
Neutral,"The flier states to add an ewallet, but the website does not easily direct parents to this.  Are we to assume an ewallet is the same as a gift card?  If so, why are they listed as different things?",Account Balance/Payment
Satisfied,I wish you passed out a QR code on the handouts from school. would make it easier to scan.,Website- General Comment/Navigation
Very Satisfied,peepee ond caci en peepee caca land,All Other
Neutral,Teacher not listed,Connecting Teacher/Class Code
Satisfied,Survey popped up before I could utilize the site.,Website- Survey Pop Up Issue
Satisfied,This survey interrupted me from finishing my order,Website- Survey Pop Up Issue
Very Satisfied,Amazing 😄!!,Thanks/Praise
Very Satisfied,Always easy,Thanks/Praise
Satisfied,"I teach 6th grade math, but still provide book orders to my homeroom.  I usually don't get very many orders if any at all some months.   Because of this, I rarely reach the $25 order minimum for shipping and I end up paying for shipping out of my own money.   I don't see why this is necessary.  At one time I was an ""Apple Teacher"" or something like that and didn't have to pay for shipping.  Is that available anymore? Could you help me out somehow that I can provide book opportunities for my students, but not have to constantly pay for shipping out  of my pocket?  Thank you.  Brian Ogle",Price
Neutral,I just started browsing,All Other
Satisfied,I can't find the spot to get paper book order forms sent to me at my school.,Kits
Satisfied,"I liked the selection, but I found it a little difficult to find the kind of books my son likes in his reading level without having to look up individual topics and titles.",Products Offered/ Availability
Very Satisfied,Very easy!,Thanks/Praise
Satisfied,Hard to go back and continue shopping when searching,Website- Filter/Search Options
Satisfied,It’s annoying that my cart emptied all the time or that it doesn’t connect to the cart I saved previously once I connect to a teacher,Website- General Comment/Navigation
Satisfied,wish it was easier ordering from 1 page instead of click thrus but easy otherwise,Website- General Comment/Navigation
Very Satisfied,I was just browsing today. Still need to inventory what I have in my new classroom before ordering.,Intend To Order in Future
Satisfied,I enjoy the site and order throughout the school year.,Thanks/Praise
Very Satisfied,Did not take long at all!,Thanks/Praise
Very Disappointed,Couldn’t select December from birthday.  Items will not add to cart.,Website- General Comment/Navigation
Satisfied,Very nice to shop here.,Thanks/Praise
Neutral,It is hard to switch from teacher store to parents store/bookclub on my phone so I sometimes don't order because of it.,Website- Mobile Compatability
Satisfied,"I searched for Charlotte's Web and Tuck Everlasting, and the came up as 'not found'.",Products Offered/ Availability
Disappointed,Unable to scroll to bottom to add free book with $25 purchase.,Bonus Points/Rewards/Promos
Very Satisfied,"easy, intuitive website. Very well done!",Thanks/Praise
Neutral,It was confusing how to order books on our book club page  outlying how to browse by age,Website- Filter/Search Options
Neutral,Jumped straight to survey before I got to submit order.,Website- Survey Pop Up Issue
Satisfied,Easy to use even on my phone,Thanks/Praise
Satisfied,Pretty easy to follow,Thanks/Praise
Neutral,I was just started to look for books when I was taken to the survey. Historically I have had a lot of trouble with the website.,Website- Survey Pop Up Issue
Satisfied,"Just a lot to choose from. As a single parent there is a lot in my budget, but the good books are pricier for me currently sadly.",Price
Satisfied,On a desktop I was able to find and access the Dollar store.  I was unable to find it using a smart phone.,Website- Mobile Compatability
Satisfied,couldn't select book from pamphlet visual,Website- General Comment/Navigation
Satisfied,The site is easy to use. I only have trouble choosing between all the good books!,Thanks/Praise
Disappointed,Not good on mobile phones,Website- Mobile Compatability
Very Satisfied,The site is great and easy to use.,Thanks/Praise
Neutral,Unfriendly user interface,Website- General Comment/Navigation
Very Satisfied,Very easy to order books through here,Thanks/Praise
Satisfied,I am trying to find how to get catalogs sent to the school to provide to my students.,Kits
Very Satisfied,This site has gotten so much easier to use!,Thanks/Praise
Satisfied,I would like to comment that I still have not received a wobble chair ordered in May 2022.,All Other
Disappointed,I entered emails. I pressed send a reminder by email. I have no idea if they sent. Frustrating.  I also tried to refer a friend RachaelGosselin@wlcsd.org and that didn't work either.,Website- General Comment/Navigation
Neutral,Can’t find the book I want.,Products Offered/ Availability
Neutral,A little concerned about ordering due to issues last year. Haven’t placed an order since last fall due to late shipping,Prior Year Shipping Delay
Satisfied,I had a little bit of trouble setting up my teacher account. I got some help though.,Website- General Comment/Navigation
Disappointed,Hard to find where to connect child’s teacher.,Connecting Teacher/Class Code
Satisfied,It kept jumping around on me and zooming in.,Website- General Comment/Navigation
Very Satisfied,"No complaints. Smooth GUI, and the order confirmation displayed all the important details.",Thanks/Praise
Satisfied,It was difficult to navigate to the page with my children’s teachers listed…the actual order page.,Website- General Comment/Navigation
Very Satisfied,"Great site, very user friendly",Thanks/Praise
Very Satisfied,Easy to navigate and easy to view books I'm looking for,Thanks/Praise
Neutral,Can be a little difficult navigating the site   Dont like that tax is charged online and not if i submitted through his teacher,Website- General Comment/Navigation
Satisfied,The web site appears different in the laptop vs the phone. Works best in the Phone in my case.,Website- Mobile Compatability
Satisfied,"Wanting to see if order was sent to school but difficult to tell since ordered for 2 separate classrooms/students under 1 order. 1 set of books arrived yet the other has not, was just wondering what the difference is since ordered at the same time.",All Other
Very Satisfied,I am shopping for my 5 grandkiddos....you offer a wide variety of books and I will occasionally order books from your site.,Thanks/Praise
Satisfied,1) My son's teacher has a wish list but I was unable to access it.   2) I've noticed a lot of favorites have gone up in price and no longer available to collect as a READS free book.,All Other
Satisfied,Hard to select some options at moments,Website- General Comment/Navigation
Very Disappointed,"Very hard to locate books, add to cart,  and check out.  I still haven't checked out.  This dumb survey stopped me from ordering.",Website- Survey Pop Up Issue
Satisfied,Lower pricing than I expected.  Overall appealing website but a bit over simulating trying to figure out if there is a recommended reading list from the teacher or what books/categories to focus on first.  I love that it gives summaries if the books and a few pictures to show content.,Website- General Comment/Navigation
Satisfied,"My family loves Scholastic Books. I appreciate being able to search for books by grade level, but would love the ability to search by grade level and by interest. For example, to search by fourth grade and Halloween, etc. Thank you for the selection of reasonably priced books and the coupon for a free book. Books can be expensive particularly when you have more than one child and it is nice to have the option of buying books in a bundle and the $5 or less books so your children can have more books to read even if you don't have a lot of money to spend on them. Thank you.",Website- Filter/Search Options
Satisfied,I think the website could be slightly better organized but I was able to search options for both of my kids and I am excited for my purchases.,Website- Filter/Search Options
Very Satisfied,The site is great!  All of  my students haven't turned in their order form yet.,Thanks/Praise
Very Satisfied,Excelente,All Other
Very Satisfied,Easy to find the books my child selected and ordered without any issues.,Thanks/Praise
Very Satisfied,I really like the added picture when you are checking your book title in the check out section.  I am very visual and helped me in not having to spend extra time to go back and find the book (double checking to make sure it is the right one).  Thank you!  🙂,Thanks/Praise
Satisfied,I opened the site through mobile and it is difficult to browse through different books,Website- Mobile Compatability
Very Satisfied,Great service to my child!,Thanks/Praise
Very Satisfied,Very easy process to create an account. Very easy to find student’s teacher too.,Thanks/Praise
Satisfied,Difficult to find age appropriate  genres,Products Offered/ Availability
Neutral,Very easy to use and I love the PayPal option.,Thanks/Praise
Neutral,Sometimes the flyers do not load on the first attempt and I have to leave the page and come back for it to load,Website- General Comment/Navigation
Very Satisfied,East,All Other
Neutral,Difficult how to figure out how to use free book points with READ code confusing??,Bonus Points/Rewards/Promos
Very Satisfied,I was happy to be able to enter info for more than one child and connect to each teacher.,Thanks/Praise
Neutral,Slow,Website- General Comment/Navigation
Very Satisfied,"Fast, easy.",Thanks/Praise
Very Satisfied,Pretty easy,Thanks/Praise
Satisfied,I would like more books in Spanish,Products Offered/ Availability
Very Satisfied,You Guy’s the,All Other
Very Satisfied,Love the choices we have have has parents tp pick from. Plus Carly is so excited about learning to read. You guys have the perfect opportunity to do just that.,Thanks/Praise
Very Satisfied,Nice site easy to use,Thanks/Praise
Very Satisfied,This is a nice opportunity,Thanks/Praise
Neutral,What’s the difference between the book club and other clubs? Why can’t use coupon code ABC123 on my order? Does submitting to my child teacher come from book fair or the mail? Instructions are not clear on site for new people trying to order.,Bonus Points/Rewards/Promos
Very Satisfied,Love Scholastic! :),Thanks/Praise
Satisfied,"Would like to see/ find more multicultural books, mexican-american or books from mexican authors to be more specific.",Products Offered/ Availability
Satisfied,"Well design, easy to create an account, find/choose books and submit order.",Thanks/Praise
Very Satisfied,Have you considered putting bar codes next to each book that the parents can scan with their phones?,All Other
Very Satisfied,Survey popped up before I could keder,Website- Survey Pop Up Issue
Very Satisfied,I have always loved Scholastics!!,Thanks/Praise
Satisfied,I am looking for decodable readers...don't see them.,Products Offered/ Availability
Very Satisfied,"The navigation to input student orders is very user friendly. The catalog images are helpful when ordering a book, but you cannot remember the item number. My students and I enjoy receiving the book box and celebrate growing our brains by reading the books we love. The points allows my students to get access to more diverse books in our classroom library. I LOVE SCHOLASTIC BOOK CLUB!!",Thanks/Praise
Neutral,Trouble finding teacher things like coupon books,Bonus Points/Rewards/Promos
Satisfied,Was hard to find certain books.,Website- Filter/Search Options
Very Satisfied,Profile icons need diversity and inclusion options.,Products Offered/ Availability
Very Satisfied,Não consigo por não ter um cartão de crédito para concluir a compra,All Other
Satisfied,Easy to use website.  Glad you have PayPal.,Thanks/Praise
Very Satisfied,Scholastic makes shopping for my classroom easy and makes me feel like my money and the money I raised is safe. I have been BLOWN AWAY with your customer service. I am a lifetime customer.,Thanks/Praise
Satisfied,"The site doesn't seem to be as easy to use as it used to be  ... probably just me, and it'll get better as I get use to it.",Website- General Comment/Navigation
Very Satisfied,Love Scholastic!,Thanks/Praise
Very Satisfied,My daughter was so excited that you have Gabby's Dollhouse books.,Thanks/Praise
Very Satisfied,"I know the cost of everything has gone up but for the love of spaghetti, bring back $1 books. I cannot spend $100 to open that option. I hesitate to share you with my new teachers now.",Price
Satisfied,The letter to the families that we can download was pretty lacking in visual appeal.,All Other
Very Satisfied,Thank you for making this so easy.,Thanks/Praise
Very Satisfied,Great service,Thanks/Praise
Satisfied,"I would like to order.  It seems I cannot without the teacher being registered? I emailed her, but is there a way to just use the Roscoe school if she does not register so that I may order?",Connecting Teacher/Class Code
Very Satisfied,So easy to use and such a great selection!,Thanks/Praise
Very Satisfied,Our family loves ordering from Scholastic!  A great  place to find tons of great books for the kiddos.,Thanks/Praise
Satisfied,The site was unclear to when I had completed the payment.  This was the first time I attempted it online.,Website- General Comment/Navigation
Very Satisfied,easy navigation,Thanks/Praise
Neutral,Wishing there was a way to quickly locate the $1.50 books to order for my class.,Website- Filter/Search Options
Neutral,Wont let me add a wish list for my 3yr old Rori,Website- General Comment/Navigation
Neutral,Paid through paypal but when I returned to the site I am not sure the purchase went through,Website- General Comment/Navigation
Neutral,I use the website as a parent and as a teacher.  It is pretty straight forward.  Could be easier to toggle between individual books and back to the flyer without having to press the back button.,Website- General Comment/Navigation
Neutral,Not user friendly,Website- General Comment/Navigation
Very Satisfied,Just looking to get some ideas.,Intend To Order in Future
Very Satisfied,In the middle of shopping and the survey popped up before I could finish looking. A little more user friendly with out this type of interference would be great.,Website- Survey Pop Up Issue
Very Satisfied,Was having difficulties resetting my password.,Website- General Comment/Navigation
Very Satisfied,I visited to find out if fliers for the classroom were still being printed/delivered.  A live chat helped me with my question.,Kits
Very Disappointed,This is horrible I’ve tried to sign in multiple times but it doesn’t let me in I’ve tried to make a new account it doesn’t let me,Website- General Comment/Navigation
Satisfied,It would be nice if you had an option to order books to donate directly to your child's teacher so she can share with the entire class.,Website- General Comment/Navigation
Satisfied,"Couldn't figure out how to connect to my child's teacher, but figured it out after a little while.",Connecting Teacher/Class Code
Very Satisfied,Website is easy to navigate.,Thanks/Praise
Satisfied,"Nice selection of books for my kids, at an affordable price!",Thanks/Praise
Very Satisfied,"I am not receiving order  forms at my school in the  same amount as  in  the past. I need 30  of  each  for preschool and Kindergarten. I usually have large orders,  especially in  the beginning of the school year.",Kits
Disappointed,It is unclear how to add paper orders to the online order,Kits
Satisfied,I would love to see new books added more frequently. I feel like I am still looking through most of the same books I did last year. Thank you! I am also hoping that shipping is better this year!,Products Offered/ Availability
Very Satisfied,"I love how we can see a sneak preview of the book to see if it meets our expectations. I also love the recommendations. Some might be advanced options for my child, but always happy to add the wishlist.",Thanks/Praise
Satisfied,"I was going to send the welcome letter to my families however the grade is wrong. When I went into my profile, it has the correct grade. Not sure why there's a disconnect.",Website- General Comment/Navigation
Very Satisfied,"I liked that it was pretty easy to maneuver and find things.  It would be nice if you could ""heart"" the list of free books for future orders.",Website- General Comment/Navigation
Very Disappointed,looking for info on paper book orders,Kits
Satisfied,"It's a lake difficult to navigate. It would be nice to have more tab options.  I know there are $2 books because I saw them, but when I clicked books under $10 it would only show $5-$10 books.",Website- Filter/Search Options
Very Satisfied,Unrelated to site:  If a teacher has a small class it's difficult to get $75 order to open the $1 book store.,Price
Very Satisfied,I wish there were more affordable book options or better sales,Price
Neutral,"Its a bit confusing that you put books that are not available for purchase on your flyers.  For example, Diary of a Wimpy Kid,  Diper Overload doesn't go on sale until 10/22.  It doesn't appear I can even pre-order it with Scholastic so I'm not sure why you are advertising it.",Products Offered/ Availability
Very Satisfied,Love the change and ease of ordering by just clicking on the picture of book. Great improvement!,Thanks/Praise
Very Satisfied,I received the Tab catalogue and would like to also receive the Teen catalogue. I am not sure how to do that.,Kits
Very Satisfied,Excited to receive my daughters books,Thanks/Praise
Satisfied,"I haven’t completed my order yet, but I haven’t found the site super user friendly.",Website- General Comment/Navigation
Very Satisfied,:),All Other
Very Satisfied,Will order later this week :),Intend To Order in Future
Very Satisfied,Not a great shopping experience on the phone. May want to look into mobile formatting options.,Website- Mobile Compatability
Very Satisfied,Nice selection.,Thanks/Praise
Very Satisfied,love the freebies and ease of use!,Thanks/Praise
Very Satisfied,"Fairly easy to navigate, if you have the paper copy with the book codes on it with you.",Website- General Comment/Navigation
Very Satisfied,Great site easy to use,Thanks/Praise
Neutral,This is my first time logging in for the new school year and I wanted to see if my child's new teacher was connected to her account for future orders.,All Other
Very Satisfied,I plan to come back and submit an order after talking to my child about what she wants.  I like being able to search by grade level.,Intend To Order in Future
Very Satisfied,Easy to find and navigate!,Thanks/Praise
Neutral,"I initially went to scholastic.com and couldn't figure out why the flyer had different prices than the website. I finally went back to the bookclubs site and found what I needed for the price I wanted, but I didn't realize they were two different sites at first. Definitely want my teacher to get the order credit, and I wanted a few of the book deals. That's the main reason behind my 3 score on satisfaction, because that took some time to figure out.",Website- General Comment/Navigation
Satisfied,Could not figure out catalogs. And do they use the print out to get online digitally? A little confusing.,Kits
Very Satisfied,Very simple,Thanks/Praise
Neutral,"i just dont like the differences between the two scholastic sites. It makes it very complicated to figure out if i am in the right place or not.     Make it easier for teachers to make time frames, submit and complete orders. We are busy enough without having to deal with the small issues on websites like this.",Website- General Comment/Navigation
Satisfied,I did the browsing and pricing on this visit. I plan to order the books on another visit.,Intend To Order in Future
Neutral,I need to try and buy a book,All Other
Very Satisfied,I like the virtual flyer and being able to click directly into the item,Thanks/Praise
Satisfied,A little difficult.,Website- General Comment/Navigation
Very Satisfied,I have updated multiple times that we have much younger kiddos but still receive only preschool and Kindergarten flyers,Kits
Very Satisfied,"Easy. Straight forward. Only complaint is accessibility on cellphone…. The pop up pages are not designed to be mobile friendly (they do not fit to screen unless they are in landscape mode). Otherwise, it’s good.",Website- Mobile Compatability
Very Satisfied,Pages Loading on a mobile device,Website- Mobile Compatability
Satisfied,"Sometimes the site is hard to navigate, like when shopping the pamphlet. It's easier to shop the paper pamphlet that sometimes come home with the child.",Website- General Comment/Navigation
Neutral,I'll keep returning each month to see the specials! Very happy to have found this resource!,Thanks/Praise
Very Satisfied,Thank you for this great service.,Thanks/Praise
Satisfied,Would love to see books for parents also!🤩,Products Offered/ Availability
Very Satisfied,Entering some codes were difficult and glitchy.,Bonus Points/Rewards/Promos
Disappointed,"Search engine is very poor, and we missed some great titles because we can't see as many results as we'd like. Shakespeare would have been great for my advanced 4th-grader, but it didn't appear anywhere in 6th grade - YA titles in your searches!",Website- Filter/Search Options
Neutral,You have changed the website and removed the ability to send a letter now.  I just entered all of my families onto the website and I wanted to send a letter to them.  I have no way of doing it now.  I have no way of getting to the “Teacher’s Desk” page.  That ability is gone too.  I was very frustrated.  I’m not sure how I got 156 families in my list.  I will go over it individually at a later time.  I should have less than 90.,Website- General Comment/Navigation
Very Satisfied,"Very easy, helpful!",Thanks/Praise
Satisfied,I need to find teacher section for Bonus points materials.,Bonus Points/Rewards/Promos
Very Satisfied,Súper easy.,Thanks/Praise
Satisfied,The interface was a little glitchy when using mobile device,Website- Mobile Compatability
Very Satisfied,Will be submitting an order after receiving the rest of the forms.,Intend To Order in Future
Very Satisfied,Great,Thanks/Praise
Very Satisfied,I would like to have been able to use my bonus points for dollar books. I give my students books for the holidays.,Bonus Points/Rewards/Promos
Neutral,I can’t get it to show what my orde  is.,Website- General Comment/Navigation
Very Satisfied,I Love Scholastic. Thank you for all the great books your company offers. You are appreciated!,Thanks/Praise
Very Satisfied,Very easy to navigate and place orders,Thanks/Praise
Very Satisfied,Only Difficult part was browsing for my free book with code READS.  I had to know what book I was looking for and not seeing the covers made it hard for my child to help me.,Bonus Points/Rewards/Promos
Very Satisfied,Very easy to navigate site,Thanks/Praise
Satisfied,Mobile had a hard time picking free book when checking out seems like it’s a tech issue,Website- Mobile Compatability
Disappointed,it wouldn't let me see the books,Website- General Comment/Navigation
Very Satisfied,Who should pay the shipping when students don't place enough orders to qualify for free shipping?,Price
Very Satisfied,very easy site to manipulate,Thanks/Praise
Satisfied,I would like adult opinions also to order!,Products Offered/ Availability
Very Satisfied,Very easy to facilitate. Easy to look up products as well.,Thanks/Praise
Satisfied,This questionnaire popped up before I could do anything on the site so I can’t really give feedback.,Website- Survey Pop Up Issue
Satisfied,"The whole charging tax makes me not even want to purchase any books from Scholastic.  We (teachers) buy books for our kids, libraries, and to give away...seems like the little guy gets dinged again...  I absolutely love the free books.  I am able to offer books to  kids that don't ever get to order books a book to read.  I typically by all my kids a book at Christmas.  That's the only time I can afford to do this!  Free books help out throughout the year.  Thanks!",Price
Satisfied,It'd be nice to be able to search by price range. Otherwise LOVE the site and books!,Website- Filter/Search Options
Neutral,"Now, as an adult, all grown up, Mama of FOUR, I STILL enjoy purchasing books from the Scholastic Book Club!!! Forever will I remain excited to get books from teachers through this specific book club. Please know that this company was AWESOME when I was just a little girl (1990's) and in 2022 you guys continue to be AWESOME!!!",Thanks/Praise
Very Satisfied,The site is not user friendly on your cell phone there is lots of lag time and jumpy. Logged in on desktop and much better,Website- Mobile Compatability
Neutral,"Why did I get an email from scholastic with code ABC123 for up to 30% off, but I couldn’t use it on this order?",Bonus Points/Rewards/Promos
