Overall Rating,Comments,Feedback Category
Neutral,I thought I already set up something for my students' families to order but I don't see that it is there nor that any orders were placed.,All Other
Satisfied,Please bring back $1 books,All Other
Neutral,"It’s hard to find a place where all the book are located. If I load the digital flyer, it would be nice to be able to click on a book and it link me to actually order it.",Website Performance/Page Design
Very Satisfied,Easy to use,Thanks/Praise
Neutral,"I was trying to refer a teacher and it asked for my email address when I thought it was asking for who I was referring.  Why would it ask for mine if I am logged in? Anyway, once you enter it, it can't be changed and I refreshed and signed out and signed in on a different browser. I even hit the ""X"" by the referral add and now I can't get it back. :(",Website Performance/Page Design
Very Satisfied,I love the first book order of the school year!   Always get to use the extra bonus points and parents are excited to make orders.   Thank you for keeping the order to get shipped to my home   We run limited hours and it’s very hard for us to be onsite to sign for the box! Jessica @ pixie playschool,Thanks/Praise
Neutral,it was very nice,Thanks/Praise
Very Disappointed,I have no idea if it went through or not. The button submit wasn’t working.,Website Performance/Page Design
Neutral,Are so browse on my phone,Website Performance/Page Design
Satisfied,Your inventory in terms of books are limited. I am sure your variety,All Other
Satisfied,books will increase when inflation is down.  A lot of teachers are struggling with all the increase in prices.,All Other
Neutral,Navigating the site is not user-friendly.  Several times I had to really hunt to know where to go.,Website Performance/Page Design
Satisfied,Dollar store didn't open after order. A little confusing for checkout.,Website Performance/Page Design
Very Satisfied,Thank you  for making 1$ books available.,Thanks/Praise
Neutral,Easy,Thanks/Praise
Very Satisfied,adding my orders as they come in,Thanks/Praise
Very Satisfied,Easy effective,Thanks/Praise
Neutral,I do wish this was more mobile friendly.,Website Performance/Page Design
Neutral,Good,Thanks/Praise
Very Satisfied,"great site, simple to use.  good job site designers!",Thanks/Praise
Neutral,I love that I’m able to connect to his class and order books . Sent to his teacher directly . The free books that are earned are an extra bonus to help build his library and at school.,Thanks/Praise
Satisfied,Hoping this year orders get to students faster than last year.,All Other
Neutral,This is a great website to buy books from.,Thanks/Praise
Very Satisfied,None,All Other
Very Satisfied,The website is very easy to navigate,Thanks/Praise
Very Satisfied,Very simply an easy!,Thanks/Praise
Very Satisfied,Quick and easy,Thanks/Praise
Very Satisfied,Great navigation,Thanks/Praise
Very Satisfied,The survey popped up before I was able to complete my order.,Website Performance/Page Design
Very Disappointed,"Why isn't there a place to order paper flyers?  I looked in FAQs, and I didn't see anything about the topic.",All Other
Neutral,I forwarded the email to family to add money to my daughter's wallet & it will not work,Website Performance/Page Design
Very Satisfied,REALLY AWSOME!!,Thanks/Praise
Very Satisfied,This survey actually popped up before I submitted my order but I've never had any issues in the past and do not anticipate that I will.,Website Performance/Page Design
Disappointed,A survey popped up in the middle of my trying to place an order. I clicked on the book I wanted and it just looped me back to signing in.,Website Performance/Page Design
Very Satisfied,The Scholastic Book Clubs website is user friendly. I enjoyed the Dollar Store access!,Thanks/Praise
Neutral,I wanted to scroll through the order and click add to cart but there was no button for add to cart so I ended up adding by item number,Website Performance/Page Design
Very Satisfied,Very easy 💜!,Thanks/Praise
Satisfied,Overall easy to figure everything out,Thanks/Praise
Very Satisfied,"Wasn’t using book club pages during order.  Should have been, but I feel directions weren’t clear enough. However, a call to Scholastic “cured” the problem.",Website Performance/Page Design
Satisfied,Getting out of one book description to go see another one is confusing,Website Performance/Page Design
Disappointed,Trying to add myself to a new school district and couldn't get that finished.,All Other
Satisfied,Just password problems since my husband changed my computer,All Other
Very Satisfied,"Easy to create an account, great products.",Thanks/Praise
Very Satisfied,I've always enjoyed ordering from here as I've also done with my grandson and now I'm able to do this with my granddaughter.,Thanks/Praise
Satisfied,Easy to use and didn’t error out like other sites.,Thanks/Praise
Disappointed,The site was oddly difficult to navigate new windows would open when certain links were clicked on and then I wasn't sure if I was still under my child's teachers site and my cart wouldn't always update as needed.,Website Performance/Page Design
Neutral,The website times out quickly.  I will complete the order later.  Accessing my cart was difficult.    In the future I may do this from home.,Website Performance/Page Design
Very Satisfied,"Great, it's easy",Thanks/Praise
Satisfied,Will be talking with my husband about how many to order!!,Thanks/Praise
Very Satisfied,So easy!,Thanks/Praise
Neutral,Trying to place an order but this survey came up and has blocked me from placing order…,Website Performance/Page Design
Very Satisfied,Very easy,Thanks/Praise
Very Satisfied,I got sent to this survey when trying to order my books!!,Website Performance/Page Design
Very Satisfied,Love Scholastic!,Thanks/Praise
Satisfied,I hope delivery has improved since Covid.  That really messed up alot of orders.,All Other
Very Satisfied,Easy and quick to use.,Thanks/Praise
Very Satisfied,I love Scholastic book club...need a little more $1 book choices and cheap fun stuff to buy for teachers!!,All Other
Very Satisfied,Site was easy to navigate and add the new teacher for my child .,Thanks/Praise
Satisfied,"Being a little unfamiliar with your site, I struggled to find where I could place my order to give credit to my child's teacher. I made an order last year and realized it probably did not go towards any classroom credit. Having links that are more forthright on your home page would be helpful.",Website Performance/Page Design
Satisfied,I couldn't get the digital flyers to load for 2nd grade,Website Performance/Page Design
Disappointed,"i am so dismayed with scholastic and services as of late. After using book orders for the 39 years of my teaching career, I debate whether to offer book orders to my students. it has become more of a headache than a help to get orders processed and delivered. The prices are no longer family friendly.",All Other
Neutral,It’s hard to know where I’m supposed to order. I go looking for books and then I’m out of the club? Or into it? It would be helpful for it to be clear I’m supporting the classroom and can search for books within that framework.,Website Performance/Page Design
Satisfied,I wish all books gave a synopsis of what it was about.,All Other
Very Satisfied,My credit card is being declined. Does it by ANY chance give a  reason why from your end? Thank you so much for any guidance you can give me.,All Other
Satisfied,"Would not let me log in. After I cleared my history, I was able to get in.",Website Performance/Page Design
Satisfied,I wish there were more ways to sort and filter books as I'm searching for ones to add to our library or to gift to children.,Website Performance/Page Design
Very Satisfied,was easy,Thanks/Praise
Satisfied,I am trying to use my points to purchase items for my classroom.  I hope you are planning on adding more to your selection.,All Other
Very Satisfied,Vary easy to use!! Great job.,Thanks/Praise
Very Satisfied,This site is very easy,Thanks/Praise
Satisfied,"I'm assurming my flyers will be coming soon as I get them every year. Therefore I just requested some for her.     My email is: ketterhagen@waterford.k12.wi.us    Judy Ketterhagen  Evergreen Elementary School  817 W. Main Street  Waterford, WI 53185",All Other
Neutral,"I keep entering my class grade, but I never get any fliers sent to my school to pass out to the students.",All Other
Satisfied,I hope it doesn't take 3-4 weeks for kids to receive their books this year.,All Other
Satisfied,Trying to change the phone number associated with my school.,All Other
Satisfied,struggling to directly access teacher page. I always get redirected to the parent pages wheile trying to order.,Website Performance/Page Design
Very Satisfied,"I chatted with a representative about removing tax from my order since we are tax exempt.  The representative was helpful and quick in responding, but the procedure seems cumbersome.  It is dependent on the buyer to remember to follow up, and it seems to require Scholastic to complete extra steps too.    However, if the Supreme Court says it must be done, so be it, I guess.",All Other
Neutral,I'm a little disappointed that the flyers were not automatically sent out for the start of the school year.  I'm hoping to get them before it's to late to place a Sept/Aug order.,All Other
Satisfied,"Broader range of books would be great, but books of interest were available.",All Other
Satisfied,Looking for flyers and wondering if they are sent out automatically or do I need to request.,All Other
Neutral,How can I get a copy of the flyers?,All Other
Very Satisfied,Easy to use,Thanks/Praise
Very Satisfied,Always love ordering from Scholastic!,Thanks/Praise
Satisfied,I'm a Teacher at La Petite Academy in Monona Wisconsin.  I would like to start giving out the flyers to the Parents.  I'm trying to set up a account to begin the process of earning points for our Center.                                       Michelle Stupar,All Other
Very Satisfied,I use this site as a teacher also!,Thanks/Praise
Very Satisfied,haven't received confirmation email yet,All Other
Very Satisfied,Great books,Thanks/Praise
Very Satisfied,This site is user friendly and fast. I love that it is connected to PayPal!!,Thanks/Praise
Satisfied,Love how easy is to find books!,Thanks/Praise
Very Satisfied,Everything was easy.,Thanks/Praise
Satisfied,"Was easy, was fast",Thanks/Praise
Very Satisfied,Straightforward and easy to use with many options,Thanks/Praise
Disappointed,"I also think the books are the same thing and to diverse. At some point can we get back to the norm and have all books here. Top sellers, top authors and the best of the best.",All Other
Disappointed,I do think the site is slow and a little outdated.,Website Performance/Page Design
Neutral,My account is showing an outstanding balance for an order placed in June. It was a purchase order and has been paid by my district.,All Other
Neutral,Book prices are too high.,All Other
Very Satisfied,I LOVE SCHOLASTIC BOOKS OKAY,Thanks/Praise
Satisfied,I am happy that my beginning of the year order came so quickly! I hope all of the problems from last year have been taken care of.,All Other
Satisfied,I would love to see an updated account balance quickly after an order is placed. Thank you.,All Other
Satisfied,The process was very quick and easy,Thanks/Praise
Neutral,I was trying to order but your poo up sent me here before I could complete my order,Website Performance/Page Design
Very Satisfied,liked that I had more of a selection than what was in my flyer,Thanks/Praise
Neutral,Need to add more pictures of the inside of books.,All Other
Very Disappointed,This is not user friendly to quickly make an order.,Website Performance/Page Design
Satisfied,I love scholastic books and as a teacher I get so excited to provide my students with quality books and scholastics allows me to do that at a affordable rate with its dollar books and deals.,Thanks/Praise
Neutral,I tried to search for a book available in a pack but it didn’t come up. It would be nice if search worked better,Website Performance/Page Design
Satisfied,"I miss the dollar books each month.  It really helped building classroom libraries and sets for students.  I know there is a section that opens up when you reach a certain amount in your cart.  However, it is costly for educators to reach that goal.",All Other
Neutral,"I miss the books that tell a story, like the Franklin series.  It told a nice story, always had a good lesson for the kids to ponder and beautiful illustrations.  Now it is all weird pictures with a few words on each page and no actual story.  bring back actual STORIES )",All Other
Satisfied,"My mom told me to sign up but because she didn't send a referral code, neither of us gets bonus points",All Other
Neutral,I tried adding books to the cart but they are not showing up in the cart.,Website Performance/Page Design
Neutral,"While I do think that the idea of this is rather nice, I am disappointed that there are not that many books that I find interest in.",All Other
Very Satisfied,Effective,Thanks/Praise
Very Satisfied,"I love that we can now purchase these books online, becasue everytime we would miss the first few days of the book fair at school and by the time we were able to go buy the books they had picked out on the flyer with their teacher the books would already be gone.",Thanks/Praise
Disappointed,TEACHER'S CLASS CODE box should be on the first web page.  I had to did and dig to find how to add my teacher's code.,All Other
Neutral,I can’t figure out how to access the ewallet.,Website Performance/Page Design
Very Satisfied,Scholastic is a great opportunity to grow my classroom library without breaking the bank!,Thanks/Praise
Very Satisfied,"I am hoping that after last year's fiasco with delivery delays that this year's delivery experience is better,",All Other
Satisfied,Keep up the good work,Thanks/Praise
Satisfied,"I love the book of the week option, but as a class of 12 students  we will never reach the total to open the dollar spot.",All Other
Neutral,My only issue is that I wanted multiple books that I could only get in large package deals.,All Other
Very Satisfied,"I like the ability to enter the code and automatically add to cart from the website. It's much more convenient than it was several years ago. There's no replacement for the excitement of the paper pamphlets for the kids to read, but I like being able to transfer that to an online order!",All Other
Satisfied,I am actually in the middle of my order but I am grateful to be able to order books for my grandson and deliver to his school.,Website Performance/Page Design
Very Satisfied,"loved scholastic as a kid, love it now even more for my daughter and the ease in ordering online.",Thanks/Praise
Neutral,I have put many books of good price  in my cart before but my cart got emptied by itself. I am very disappointed about that,Website Performance/Page Design
Neutral,"It’s impossible as a parent to ensure your account is debt free. There was an issue last year where I was charged for the books I ordered and then a month or so after I already received my books, I was being charged again. Got an email that for some reason that the order was “never charged” even though it was in my PayPal account and tried to resolve issue through the email provided through PayPal, but no answer. Got a letter in mail that I still “owed” money for that same order and tried calling and there’s no easy way to deal with that over the phone either. Got tired of trying to speak to someone so I decided it wasn’t worth getting sent to collections if the issue was still unresolved…did the system operator to “pay” my balance (which is ALSO) impossible to figure out since it only asks how much you want to pay and doesn’t tell you how much you owe. And then it never gave me an actual “confirmation number.”  It literally just said “thanks…this is your",All Other
Satisfied,Trying to figure out how to get monthly subscription sent to my classroom.,All Other
Neutral,Code would not work,All Other
Very Satisfied,"I wasn't 100% sure where to put in my child's class code - I now know it falls under ""book club"" - but maybe write that somewhere on the main site for an option.",All Other
Neutral,It’s difficult to navigate on an iPhone. Hard to go back  to where I was after looking at a possible book,Website Performance/Page Design
Satisfied,The site saved my info from last year and I was able to update my daughter and teacher info with ease.  No complaints.,Thanks/Praise
Neutral,"Site would not let me register on my phone, had to use a computer.",Website Performance/Page Design
Disappointed,Not so user friendly on an iPhone,Website Performance/Page Design
Very Satisfied,Nice to be able to put in the code for my child's books verus having to search for a specific title.  Well done.,Thanks/Praise
Very Satisfied,it’s nice to know i can order online and such great lower prices,Thanks/Praise
Very Satisfied,I like the entire set up of scholastic book order.,Thanks/Praise
Satisfied,"The additional line for each item that showed the total cost of the item only was spaced out in a way that made it look like a duplicate item that was missing its image on my phone Chrome browser. This was confusing, and I had check back through the cart a couple of times to make sure that I had the correct number of items and cost. The Order Details page is similar, but the formatting is better. Fixing the formatting or combining the total cost into each item would be helpful.",Website Performance/Page Design
Very Satisfied,All good,Thanks/Praise
Very Satisfied,I had no issues.,Thanks/Praise
Satisfied,"Survey populated before completing my order, I would have liked to complete my order first.",Website Performance/Page Design
Very Satisfied,I purchased books for my granddaughter.  Such an easy process and don't have to write a check.  I'm sure the teachers enjoy not having to collect money and orders!  Great service.,Thanks/Praise
Satisfied,I was looking at a student order and trying to find my due date. It was difficult to find the due date that I set. It was today.,Website Performance/Page Design
Very Satisfied,Getting ready to order,All Other
Satisfied,"Sometimes the site would glitch and I would have to resign or connect to my child's teacher again.  The flier is super touchy too. But, overall, good site.",Website Performance/Page Design
Very Satisfied,"It's really easy to navigate the site, search for books, and to order.",Thanks/Praise
Neutral,"Good info, but can’t find a collapse or back button after I click on full info.  I have to go back to homepage to get back into flyer! If there is an X, collapse, or go back, I’m not finding it.",Website Performance/Page Design
Very Satisfied,I have appreciated all the upgrades over the years. I am so grateful for Scholastic Book Clubs and what you provide to students and teachers at all times.,Thanks/Praise
Neutral,Unavailable to see status on anticipated date if receipt of books ordered 7/4/22.,All Other
Neutral,I could not find any where on the site to request a new class set of flyers in the mail. I teach Kindergarten to a class of 24.,All Other
Very Satisfied,This site was very easy to navigate and had very helpful descriptions with the products.,Thanks/Praise
Satisfied,I am NO LONGER a teacher and had trouble getting out of the teacher's site and onto the parent's site.,Website Performance/Page Design
Satisfied,Went to Parent Club and I couldn’t find correct books I wanted. Said Charlotte’ Web was sold out but I found it when I changed my child’s class code.,All Other
Neutral,I’m disappointed that there are no 10 for $10 books anymore. I raised enough money to buy my kids books this year and was very unhappy with the changes. There are 6 for $7 but only a few options. I need to use these funds to provide books monthly for my kids. With the changes I am struggling to find books that my funds will cover. It’s very disappointing.,All Other
Very Satisfied,Easy to navigate the website,Thanks/Praise
Satisfied,I am having a hard time finding where/how to pick the flyers I would like to use for my class tis year.,All Other
Very Satisfied,Thank you for continuing to put books in little learners' hands!,Thanks/Praise
Satisfied,Cut me off from completing my order,Website Performance/Page Design
Neutral,The survey popped up asking to take the survey after I checked out and then navigated away from shopping.,Website Performance/Page Design
Satisfied,Overall good experience.,Thanks/Praise
Very Satisfied,Easy,Thanks/Praise
Very Satisfied,I love scholastic books!,Thanks/Praise
Very Disappointed,"I created an account, signed in, connected to my classroom, but I cannot add books to my cart. This really irritating.",Website Performance/Page Design
Neutral,There were a few glitches on my phone so I went to a computer and it worked fine.  Could have been  1. Operator error  B. Squirrelly Phone  III. Site malfunction,Website Performance/Page Design
Neutral,Hard to hit confirm for the promotional free book.,Website Performance/Page Design
Neutral,Can't find the link to find my child's teacher,All Other
Satisfied,Site is not very compatible when using on a smart phone.,Website Performance/Page Design
Satisfied,It brought me to the survey before I was finished,Website Performance/Page Design
Neutral,School starts tomorrow and I don't have any Scholastic Book Club flyers to send home.  I sure hope they are on the way.,All Other
Very Satisfied,Easy process,Thanks/Praise
Neutral,It was really difficult to find where to request catalogs. Updating the rest of my information was easy.,All Other
Satisfied,It took awhile to figure out where to go to set up the ordering information for my class.,Website Performance/Page Design
Neutral,Site is always easy to navigate and place an order. Thank you.,Thanks/Praise
Very Satisfied,"Looking for Christmas gifts, but waiting for teacher codes.",All Other
Very Satisfied,The whole experience was great!,Thanks/Praise
Satisfied,"Scholastic should bring back more of the $1 books for teachers to purchase. I realize that section opens,  But only after a certain amount is spent as a class order.",All Other
Satisfied,Loading issues,Website Performance/Page Design
Satisfied,"I'm a literacy coach and I'm encouraging my staff to use Scholastic Book Clubs to build their classroom libraries.  I was disappointed that the information about bonus point deals for September wasn't advertised on the website.  I had to put items in my cart and go to checkout before I even was made aware that the 10,000 bonus points for a $300 order was still a thing.",All Other
Satisfied,There’s too many scholastic sites and it’s confusing which one to go to. I got it but it took longer than it does for me on any other type of online shopping site!,Website Performance/Page Design
Satisfied,Shipping should be free.,All Other
Very Satisfied,I'm so glad you are back!!,Thanks/Praise
Neutral,I couldn't find my coupon code after it popped up once.  Hard to find dollar book of the week & the search didn't pull up books I saw on previous pages.,Website Performance/Page Design
Very Satisfied,Very useful,Thanks/Praise
Satisfied,I don't know how to approve the online orders.  I'm struggling to find it even though I clicked on the link that said action required.,All Other
Very Satisfied,I signed up for an account but my email address is invalid when I try to log in.  I would love to place an order but am unable to do so.,Website Performance/Page Design
Neutral,Survey popped up before I finished my order.,Website Performance/Page Design
Neutral,The coupon code advertised on the page didnt work during check out,All Other
Very Satisfied,"She wants all the books and that is just too expensive, so we had to just pick a couple this time.  We'll get more on the next order.",Thanks/Praise
Neutral,You need to be able to search by price . I need 2 dollar books and I should be able to see all the 2 dollar books but I can’t!,Website Performance/Page Design
Neutral,Free book coupon didn't apply not sure why,All Other
Very Disappointed,Experienced a lot of technical difficulties with this site. Pages weren’t loading properly and the site as a whole is not easy to navigate.,Website Performance/Page Design
Very Satisfied,"Small features like student name and item, have been far improved. Nice work.",Thanks/Praise
Satisfied,Took me to the survey before I could place my order.,Website Performance/Page Design
Neutral,Not very mobile friendly for browsing the website,Website Performance/Page Design
Satisfied,"I love Scholastic books, but there are books that are no longer available that I'm looking to buy.",All Other
Disappointed,Advertised promo “READS” did not work. Auto message stated the code had expired.,All Other
Satisfied,Viewing individual book information and then returning  to catalog page is very ‘glitchy,Website Performance/Page Design
Very Satisfied,Great. Easy to do,Thanks/Praise
Disappointed,My account isn’t showing the correct balance credit and it wouldn’t let me choose my $10 credit … it said I earned it but there wasn’t an option to use it!,All Other
Neutral,In the past I could assign certain book clubs.,All Other
Very Disappointed,I couldn't find the teacher for my child's books.,All Other
Very Disappointed,Can I have my money back please?,All Other
Neutral,Does not show wallet to know how much money is available,All Other
Satisfied,i think the pop ups are blocked from our system admin at work so the site is a little hard to shop and quick find books but it seems much better than last school year when it was much more glitchy.,Website Performance/Page Design
Very Satisfied,The process was super quick and easy!,Thanks/Praise
Very Satisfied,I love the book campaigns and the Book of the Week. Thank you for supporting my students having a LOVE of reading.,Thanks/Praise
Neutral,I had to sign in twice to get to the part where I tie my grandchild to their teacher and I never found the part where I could view the teacher's wish list.,All Other
Neutral,I love that this is available online. Makes it possible to easily buy items for my grandson!,Thanks/Praise
Satisfied,I love it when there are new books introduced each month.,Thanks/Praise
Neutral,"Great,  I am the students Grammie and I always loved your organization",Thanks/Praise
Satisfied,"I had trouble figuring out how to log in, it kept asking for my child’s teacher’s code and I kept giving it but it kept bringing me back to that screen. I figured it out eventually but it was weird.",Website Performance/Page Design
Very Satisfied,Easy to use.,Thanks/Praise
Satisfied,Pretty easy to navigate and use.,Thanks/Praise
Neutral,Couldn't seem to get an answer to redeeming points from previous to 2020,All Other
Neutral,Had to enter item number manually. Can’t copy/paste. Can’t shop from the digital flyer,Website Performance/Page Design
Satisfied,There could be an easier way to read all the titles from my mobile,Website Performance/Page Design
Satisfied,"The flyer from the school said ""Plus you pick a FREE BOOK with an online order of $25+"".  I made such an order but did not see any option for a free book.  I tried to enter ""FREE BOOK"" as a coupon code but that did not work.",All Other
Very Satisfied,Great,Thanks/Praise
Neutral,"Frist time using it and was very happy. My kid will be thrilled to get these books. Thank you,.",Thanks/Praise
Satisfied,"I would love to see more inside the book images to get a better idea of what the books are like - pictures, length, quality of story...",All Other
Very Satisfied,NO problems,Thanks/Praise
Very Satisfied,Thank you,Thanks/Praise
Very Satisfied,"We love Scholastic! We love the affordable prices, the great selection, and as a former educator, I appreciate the fact that you give back to teachers and help support classrooms as well!",Thanks/Praise
Very Satisfied,Easy to set up account and connect to my child’s teacher,Thanks/Praise
Satisfied,Hoping that the books come in a timely manner.,All Other
Neutral,This survey popped up before I was finished with my order.,Website Performance/Page Design
Satisfied,I love scholastic books/book club.,Thanks/Praise
Neutral,"Search function is poor. Example searched for series “wings of fire” showed none. Tried both likes for searching … did not work. Upon checking out ad at bottom for popular showed wings of fire.     Search function is poor, even searched by graphic novels.",Website Performance/Page Design
Neutral,Finding where my previous orders were listed,Website Performance/Page Design
Neutral,Could not print letter,Website Performance/Page Design
Neutral,I have a cart full of books but it won’t attach a teacher to it,All Other
Satisfied,"The mobile site is hard to navigate, some buttons were out of reach and the screen won’t resize",Website Performance/Page Design
Very Satisfied,"very slow, not loading",Website Performance/Page Design
Neutral,"Hi.  Books can be difficult to find on your site.  I had this issue today.  I typed in the exact title and no results.  I had to do a Google search and used that to then sign in and add the book pack.  Also, at checkout I typed in another book's title to receive it free with the code.  It didn't appear.  So then I started to search by grade and after I searched a bit in the books that populated, it was a choice.  Please improve.  Thank you.",Website Performance/Page Design
Neutral,"I am disappointed that you no longer offer more incentives for teachers based on class order. This year, the maximum teachers can earn to spend for classroom books is only $10, and in the past it was a lot more. I will be placing a class order of around $200, and I used to receive at least $25 to spend for my class library. Distributing flyers, organizing orders, sending reminders, and distributing books to students takes up valuable time, and $10 is not much incentive.",All Other
Neutral," Also, I used to purchase the birthday coupons for my students, but they are worthless now as most of your popular books increased to $6, and the coupon are limited to books up to $5.",All Other
Neutral,How do I share a public link for my class without sending an email?,Website Performance/Page Design
Very Satisfied,Nice site. Great user experience. Much easier than paper.,Thanks/Praise
Very Satisfied,I love book clubs!,Thanks/Praise
Very Satisfied,"Easy navigation, good selection of books",Thanks/Praise
Satisfied,Hard to search for books there's gotta be a better way.,Website Performance/Page Design
Satisfied,Can you show which are the dollar deal books in addition to the other value packs?,All Other
Very Satisfied,PRAYING SHIPPING IS NOW FASTER WITH COVID  LAST YEAR ONLY GOT TO ORDER ONE TIME THROUGH THE SCHOOL TO HELP OUT TEACHER CAUSE THE SHIPPING WAS SO LONG WE FEARED WE WOUDLN'T GET BOOKS BY THE TIME SCHOOL WAS OUT FOR SUMMER.   WE GOT CHRSISTMAS BOOKS IN FEBRUARY.  HOPING THIS IS A BETTER YEAR FOR BOOK ORDERS,All Other
Very Satisfied,Shopping for my granddaughter,Thanks/Praise
Satisfied,Did not find my school in the search engine. Found the link my teacher gave me and that worked.,All Other
Neutral,Site is hard to navigate.,Website Performance/Page Design
Very Satisfied,Like the site and ability to connect to the classroom. Easy to use and checkout was was smooth.,Thanks/Praise
