WeekOf,OverallRating,Comments,FeedbackCategory
7/14/2022,Very Satisfied,I did not intend to sign up for paper flyers.,Kits
7/14/2022,Neutral,"I haven't been on the site in a long time and I was very disappointed with the selection for bonus points items. I had saved up my points in order to get practical items for the classroom such as a new electric pencil sharpener, or music player.  In the past your site offered these kind of larger items that teachers often need and pay for with their personal funds.  These kind of items should always be offered in my opinion, I had 6,151 points to spend and walked away with junk.",Bonus Points/Rewards/Promos
7/14/2022,Very Satisfied,I just had to update  my credit card information with a new expiration date.,Account Balance/Payment
7/14/2022,Very Satisfied,"It is frustrating that is still charges tax for a public school. We are tax exempt. I have an outstanding balance because on a previous order where the taxes were not removed. Other than the tax issue, scholastic is one of my favorites. The site is easy to navigate, always has a great selection at fair prices.",Account Balance/Payment
7/14/2022,Satisfied,"I placed an order over $25 and was still unable to get the promo code 'reads' to work, despite the fact that a promo kept popping up with that code. I was unable to get the free book and just place the order without. Is the code not working?",Bonus Points/Rewards/Promos
7/14/2022,Satisfied,I tried to apply the code for the free book multiple times with different books that totaled above $25 and was unable to apply the code.,Bonus Points/Rewards/Promos
7/14/2022,Satisfied,Thanks you for lowering free shipping total to $25 again.,Thanks/Praise
7/14/2022,Very Satisfied,some items not available - where's the tech??,Products Offered/Availability
7/14/2022,Satisfied,"the coupon code ""Reads"" did not work",Bonus Points/Rewards/Promos
7/14/2022,Very Satisfied,"I was not able to use the coupon code for the free book, READS.",Bonus Points/Rewards/Promos
7/14/2022,Very Satisfied,"I love that I am able to order books for my classroom at a decent price, & my students families can also do that same.",Thanks/Praise
7/14/2022,Neutral,Please have more Spanish books! I would like to see a wider selection of Spanish books (fiction/nonfiction).,Products Offered/Availability
7/14/2022,Neutral,It was painfully slow to load the pages.  Remember the days of dial-up internet?  It was that bad all day.  (I tried more than once.).  It's just your website that's slow.  Other sites are fine and fast.,Website Performance/Navigation
7/14/2022,Very Satisfied,"Affordable books, easy to use website.  I should receive some bonus points for completing  the survey.",Bonus Points/Rewards/Promos
7/14/2022,Disappointed,I have a credit on a gift card and it did not  appear.,Account Balance/Payment
7/14/2022,Very Disappointed,"I have never had so many problems as I have had this past school year. I did a classroom campaign to raise money for books for my students. When I go back and look at every order I placed, it says the total was one thing, but I ended up paying a few dollars over that. I would never do that unless the original total had told me that's what it was. I received a handful of emails throughout the school year telling me I owed money for orders, when I paid straight away with the money in my classroom funds. This is ridiculous. I hate that I don't even want to use this website anymore because the kids love when they get free books from me. I have done this the last four years. But, the hassle everything has been this year is not worth it.",Account Balance/Payment
7/14/2022,Very Satisfied,"I just want you to know how much we appreciate your site.  Buying books for a classroom library can be expensive and daunting.  You've made the process so easy!  Also... Thank you, Joy, for helping me get my account straightened out.  I truly appreciate you.",Thanks/Praise
7/14/2022,Very Satisfied,I love the book packs that allow me to save money in order to get books in all of my student's hands.,Thanks/Praise
8/4/2022,Very Satisfied,I couldn't find Target gift cards in the bonus items.  A chat representative directed  me as to how to order them.  Thanks Yvonne.,Thanks/Praise
8/4/2022,Very Disappointed,"I can't check out without information about my child's teacher, which I will not have until school starts.",Website Performance/Navigation
8/4/2022,Very Satisfied,Easy to navigate,Thanks/Praise
8/4/2022,Very Satisfied,"I truly appreciated you making book packs for $7 affordable for teachers! I am purchasing books each month, 1 for each student and this makes it so wonderful!   Thank you!!!!",Thanks/Praise
8/4/2022,Neutral,"I wish the books were sent directly home, it takes too long to get to the school.",Ship to Home
8/4/2022,Satisfied,No longer states if a book is paperback or hardcover. Ordered a Piggy and Elephant and have no idea if it's paper or hard.,Products Offered/Availability
8/4/2022,Very Satisfied,When I was in school I loved this in school I wanted to have it for my 5 year old at home but it's for teachers,Products Offered/Availability
8/4/2022,Very Disappointed,I don't like that my other books were taken out of my cart. I had books in my cart from 2 weeks ago and they have disappeared. That never happened before. It is upsetting when you think you are coming to check out and your books are gone. ,Website Performance/Navigation
8/4/2022,Neutral,"I also don't like that there is almost no way to get $1 books! I got them today because I bought birthday coupons, but normally, I would not spend that much and I would not be able to get the books at this price. Please bring back the 10 for $10 or something that is affordable for teachers trying to purchase class sets of books.",Price
8/4/2022,Very Satisfied,"I would like to see Eric Carle picture books, particularly Very Hungry Caterpillar and Brown Bear, Brown Bear.  Thank you",Products Offered/Availability
8/4/2022,Neutral,The flexible seating option I wanted was out of stock.,Products Offered/Availability
8/4/2022,Disappointed,Can no longer find books listed by a/r level. There are never enough K-1 a/r books.,Products Offered/Availability
8/4/2022,Very Satisfied,Do not yet have teacher assignment,Website Performance/Navigation
8/4/2022,Very Disappointed,I have been having trouble logging into my account. It takes too long to call someone to fix my issues.,Website Performance/Navigation
8/4/2022,Very Satisfied,Love Scholastic Books,Thanks/Praise
8/4/2022,Neutral,BRING BACK THE BONUS POINT MACBOOK!  I've saved up bonus points for years to get a MacBook and NOW you take them off your Bonus Points rewards. Really frustrating. I won't spend another dollar with Scholastic until they are back.,Bonus Points/Rewards/Promos
8/4/2022,Satisfied,"Hard to find the offers only available to teachers. I saw it once and looked at it, and then couldn't find my way back.",Website Performance/Navigation
8/4/2022,Very Satisfied,love Scholastic,Thanks/Praise
8/4/2022,Very Satisfied,"I'm hoping that the orders will be processed and shipped quicker this year. For over 30 years my class has always loved book orders, and last year everyone was disappointed.",Hopeful Shipping Improves this Year
8/4/2022,Very Satisfied,Thank you for having a wonderful book at a price I could afford for my class!,Thanks/Praise
8/4/2022,Very Satisfied,Still looking for CD Book sets,Products Offered/Availability
8/4/2022,Satisfied,The log in was freezing up before I could put in my password.,Website Performance/Navigation
8/4/2022,Neutral,How do I change the teachers name associated with this class?,Website Performance/Navigation
8/4/2022,Very Satisfied,"I really. really  like the improved site .  You can save your order and come back to it later  and it is still there.! You can actually  select the pack of free books that you want, and when done ordering  everything is displayed at the end, including a listing of the free stuff as well as what was obtained by using book certificates. Thank you for those improvements. The improved site makes ordering so much easier, faster. and more productive.",Thanks/Praise
8/4/2022,Very Satisfied,I love ordering books for my classroom and for my son as well on this website!,Thanks/Praise
8/4/2022,Very Satisfied,Wished there would have been some 25 for $25 sets or something similar.,Price
8/4/2022,Satisfied,Couldn't find the 25 books for $25 when I was looking today for library building sets. Are they no longer available or was is just my inability to find them? Hopefully it was just me.,Price
8/4/2022,Very Satisfied,The site is super easy to use and I love that I can browse the digital flyers and order straight from them.,Thanks/Praise
8/4/2022,Satisfied,"Sometimes it is just hard to navigate. For example, one of my colleagues had to point out the teacher exclusive tab to me.",Website Performance/Navigation
8/4/2022,Satisfied,"My only concern is how long it will take for the books to be delivered!  Last year when I ordered books the first week of Nov., they arrived the day before Christmas vacation.    I love Scholastic Book Clubs.  I've been with you nearly 30 years.  Wait.  How is that possible????    :)",Hopeful Shipping Improves this Year
8/4/2022,Satisfied,"When trying to view all of the options in the Bonus Catalog, it did not allow me to do that.",Website Performance/Navigation
8/4/2022,Satisfied,Please expand the dollar book club selection and make it always available again!  We teachers are killing ourselves trying to keep books in our students hand often out of our OWN POCKETS!,Price
8/4/2022,Very Satisfied,I wish I could select the reading level for the free books. I am a reading specialist and I teach all grade levels.  I wish I could pick the book pack that best fits the needs of my students (and library).  I have plenty of k-1 books . it is the higher level books that I am short on.    When did taxes start? How does that work.  does the teacher get stuck paying the taxes?,Account Balance/Payment
8/4/2022,Satisfied,I am not thrilled that the 10 for $10 books are no longer available.  Hopefully they will come back soon!,Price
8/4/2022,Satisfied,"I was looking for some items I purchased with bonus points awhile back, it does not seem like you carry them anymore.",Bonus Points/Rewards/Promos
8/4/2022,Very Satisfied,It helps that I can have it delivered to my house while the school isn't open yet and hopefully I will get it on time! :),Thanks/Praise
8/4/2022,Very Satisfied,Looking for a Jon Klassen value pack,Products Offered/Availability
8/4/2022,Satisfied,The website is  organized great!  I love that my students can order from any of the catalogs.,Thanks/Praise
8/4/2022,Disappointed,"I had some coupon to be used ~ and I couldn't find it.....perhaps it was at school.  It would be very helpful to have the coupons added to one's account ~ otherwise, I imagine a lot of coupons go unused.   ",Bonus Points/Rewards/Promos
8/4/2022,Disappointed,"After the experience last year with books being sent to UPS store, a child's house that didn't order MY books ~ I was very hesitant to even order this year.",Hopeful Shipping Improves this Year
8/4/2022,Satisfied,"I wish you'd bring back more classics, like fairy tales.  TV show and movie based books are always such garbage.",Products Offered/Availability
8/4/2022,Very Satisfied,Love the getting new books for classroom library,Thanks/Praise
8/4/2022,Neutral,I did not find Un beso en mi mano or any of Froggy collections in Spansih,Products Offered/Availability
8/4/2022,Very Satisfied,I love Scholastic!!!,Thanks/Praise
8/4/2022,Satisfied,I couldn't figure out how to submit a parent order... didn't see it until I switched out of parent mode. Confusing!,Website Performance/Navigation
8/4/2022,Neutral,"I wish there were thumbnails or visuals of the books that I can select as our ""free book"".  Instead, it just gave us a list.",Website Performance/Navigation
8/4/2022,Satisfied,I had to refresh the screen a few times when I would click the arrow to proceed to the next page of results and the site wouldn't respond. It is possible that the issue is my internet as I am out of town.,Website Performance/Navigation
8/4/2022,Very Satisfied,Don’t understand why the books can not be sent directly to me.  That they go to the teacher who distributes them.   If the order is over a certain amount it should go directly to the parents home.,Ship to Home
8/4/2022,Disappointed,"I've always loved using Scholastic as a book resource for my classroom. However, last school year, I received my order months late. As a result, I was forced to notify all of my parents as to why their children's books were so late and I was forced to find books for my classroom elsewhere. This was definitely an inconvenience to me and upsetting to both my students and their parents. I'm hoping this year will be different.",Hopeful Shipping Improves this Year
8/4/2022,Satisfied,Trying to find my way around.,Website Performance/Navigation
8/4/2022,Very Satisfied,Appreciate you lowering the amount to 75$ for opening the dollar section.,Price
8/4/2022,Neutral,great selection of books,Thanks/Praise
8/4/2022,Satisfied,I found great books! I would like some book recommendations on what children are enjoying to read in the 3rd and 4th grade.,Thanks/Praise
8/4/2022,Neutral,I would like to add prepayment onto my account. I cannot figure out how to do this.,Account Balance/Payment
8/4/2022,Neutral,"I love scholastic, only it's expensive to ship to Hawaii (hence the 7 out of 10), otherwise it would be 10 out of 10.",Price
8/4/2022,Neutral,will not let me redeem READS coupon for free book when my total is $27,Website Performance/Navigation
8/4/2022,Very Satisfied,Love the Class Campgain!! Thank you!,Thanks/Praise
8/4/2022,Very Satisfied,I was disappointed that several book titles that were in the scholastic teacher store that I was interested in were not available on the book club site.,Products Offered/Availability
8/4/2022,Satisfied,I couldn't navigate easily from a flyer to the main site to search by grade level.,Website Performance/Navigation
8/4/2022,Neutral,Children's wishlist should be universal for families and friends to see,Website Performance/Navigation
8/4/2022,Neutral,I wish there were more choices for upper elementary readers. I already have purchased many of the books offered online.,Products Offered/Availability
8/4/2022,Very Satisfied,I wish that the 10 book value pack was still available!,Price
8/4/2022,Very Satisfied,I am actually neither a parent or teacher. I bought some books for a friend's classroom.,Thanks/Praise
8/4/2022,Satisfied,Figuring out how to get the GRL level I wanted. Finding the value books.,Website Performance/Navigation
8/4/2022,Very Satisfied,I would love some more options in the teacher bonus catalog. School supplies that teachers often spend our own money on would be ideal!,Bonus Points/Rewards/Promos
8/4/2022,Very Satisfied,I love the teacher dollar store and would love to see more dollar books.  Each year I get sponsors to donate to purchase books for my class and asking for more money for $2 books isn’t ideal.,Price
8/4/2022,Satisfied,"I couldn't find the $5 shop, but I finally typed in the code and it brought up a whole list, so that was nice once I figured it out",Website Performance/Navigation
8/4/2022,Satisfied,Adding bonus points to order is confusing.,Website Performance/Navigation
8/4/2022,Satisfied,"Bring back the $1 books for everyone regardless of the amount purchased. Not only does this limit the books teachers can afford to buy for their students, it also makes it harder for parents to purchase books they can afford. As a former title 1 teacher this makes a difference.",Price
8/4/2022,Satisfied,It seems as if the teacher catalog has fewer items that in the past.  Several items that I thought were available and wanted to  get with bonus points are not listed.,Bonus Points/Rewards/Promos
8/4/2022,Very Disappointed,"I have changed my email address 3 times. Each time I log out and log back in, it is back to my old email address. I also paid the balance on my account. After logging back in, the balance is back there again. I hope I do not regret using Scholastic Book Clubs again. Last year was a terrible experience and it's beginning to look that way again.",Website Performance/Navigation
8/4/2022,Disappointed,I want to find a book and not do all this administration stuff,Website Performance/Navigation
8/4/2022,Very Satisfied,There are too many places to look on this site.  I always have difficulty finding the value books.,Website Performance/Navigation
8/4/2022,Very Satisfied,I have ordered from Scholastic in the past and have always been pleased.  I do recall not utilizing Scholastic as much this past school year because of the long delay in receiving orders.,Hopeful Shipping Improves this Year
8/4/2022,Neutral,The price of your books has increased significantly.  Many families will not be able to buy books.,Price
8/4/2022,Neutral,Will there be 10 books of the same title for $10?,Price
8/4/2022,Very Disappointed,I can't find my child's teacher,Website Performance/Navigation
8/4/2022,Satisfied,I was hoping to find books for $1 to purchase for my students and did not find any .,Price
8/4/2022,Neutral,I had trouble finding where to enter my daughters teacher code but I searched the help tab and quickly found an accurate resolution.,Website Performance/Navigation
8/4/2022,Very Satisfied,great and easy to follow,Thanks/Praise
8/4/2022,Very Satisfied,Fast and Easy,Thanks/Praise
8/4/2022,Satisfied,"I found it confusing in how to order a book.  I had to read 'fine print' to realize I needed the item number.  Prior, I only had to click on the book to have it added to my cart.  I also wanted the drop down box to include giving the book to the teacher, but it only had the students.",Website Performance/Navigation
8/4/2022,Satisfied,more $1.00- $1.50 book options,Price
8/4/2022,Very Satisfied,Very clear directions and organization is wonderful.,Thanks/Praise
8/4/2022,Very Satisfied,I wish I could search by catalog when spending the bonus free $10,Website Performance/Navigation
8/4/2022,Satisfied,Still waiting on an order shipment to EDUCARE of Lincoln from June!,Delayed Shipping/Delivery
8/4/2022,Very Satisfied,Awesome site.  Gives enough info about the contents to help in the selection.,Thanks/Praise
8/4/2022,Very Disappointed,never received an email to recover password,Website Performance/Navigation
8/4/2022,Neutral,I wish you carried more of your Branches series online. I end up ordering from Amazon instead because they have a bigger selection. It also stinks when you can only buy books in packs from Branches. It is such a great set of books for my 4th graders who are EL and are still working on developing reading skills. They feel great reading a chapter book like peers. Just wish you had a bigger selection on the website.,Products Offered/Availability
8/4/2022,Neutral,Very disappointed with the huge increase in prices for most books.,Price
8/4/2022,Disappointed,"My account is tax exempt, but I was still charged tax.",Account Balance/Payment
8/4/2022,Very Disappointed,I'm not sure if my purchase was made or not. My daughter is Harlo and your asking me to connect the purchase to a child so I pick my daughter and then you send me to another page saying connect to the teacher etc I JUST WANT TO PURCHASE SOME BOOKS FOR MY DAUGHTER NOT STAY ON HERE PLAYING CONNECTION GAMES! LAST TIME I ORDERED IT WAS EASY I PLACED THE ORDER AND IT SAID ORDER PLACED.,Website Performance/Navigation
8/4/2022,Neutral,My granddaughter's teacher was not registered with Scholastic.  I spent an excessive amount of time chatting on the site to find out how to correct the problem.,Website Performance/Navigation
8/4/2022,Very Satisfied,Prices have gone up.  Missing the 10 for $10 packs.,Price
8/4/2022,Satisfied,Keeps signing out even when actively browsing and shopping.,Website Performance/Navigation
8/4/2022,Satisfied,books are too limited,Products Offered/Availability
8/4/2022,Very Satisfied,Thank you for the book package deals.  This is a great way to have books that the students will enjoy for small group or reading group lessons.,Thanks/Praise
8/4/2022,Neutral,The discount code to receive a free $5 book after spending $25  was a nice incentive to order from Scholastic rather than from Amazon.,Price
8/4/2022,Very Satisfied,Easy to find titles by item number and title.,Thanks/Praise
8/4/2022,Very Satisfied,Love the opportunity to purchase books as a parent.,Thanks/Praise
8/4/2022,Satisfied,I wish  the books in the packs had the guided reading levels listed to make it easier to distribute them in my classroom library.,Products Offered/Availability
8/4/2022,Very Satisfied,I have always been satisfied with your company.  I appreciate the bonuses as well!  Thank you!,Thanks/Praise
8/4/2022,Satisfied,Just wish I could get some of the teacher books on the club site.,Products Offered/Availability
8/4/2022,Neutral,"I miss the dollar books for 10 for 10  sets. As the price goes up, it is harder for me to purchase books each month for my entire class. :(",Price
8/4/2022,Neutral,"I was struggling with how to use my bonus points.  The site is not user friendly.  I was able to find out how to do it, but then with seeing the book flyers.",Website Performance/Navigation
8/4/2022,Satisfied,I wish when we were tax exempt it didn't charge sales tax,Account Balance/Payment
8/4/2022,Neutral,Check out was confusing,Website Performance/Navigation
8/4/2022,Satisfied,Great prices and sets of books!,Thanks/Praise
8/4/2022,Very Satisfied,I can't pay my teacher order using paypal and submit a student's order check payment.,Account Balance/Payment
8/4/2022,Satisfied,I was looking to find a book for the beginning of the year for all students. I was pleased to see a book pack that was reasonably priced with a book by a great author. So excited to share these with my students. It was very nice to see that there were additional rewards for every level.,Thanks/Praise
8/4/2022,Very Satisfied,Very easy!,Thanks/Praise
8/4/2022,Neutral,I was able to submit an order to both students teachers,Thanks/Praise
8/4/2022,Satisfied,I love the bonus point catalogue!,Bonus Points/Rewards/Promos
8/4/2022,Disappointed,"A parent wanted to delete her order to edit and I didn't see a way to delete and have her start over, so that was a bit frustrating.",Website Performance/Navigation
8/4/2022,Neutral,I would like to see more board books.,Products Offered/Availability
8/4/2022,Satisfied,I was looking for teachers reference books didn't find any.,Products Offered/Availability
8/4/2022,Very Satisfied,Where is the $10 book pack. Why is it 6 for $7 now?,Price
8/4/2022,Satisfied,It is unfortunate that I had to pay for shipping when using my bonus points.,Price
8/4/2022,Disappointed,"It took a minute for me to find an area to enter my Childs teacher. Very frustrating, if I wasn't such a good Mom I would have closed the window because of frustration.",Website Performance/Navigation
8/4/2022,Very Satisfied,Please consider adding Llama Llama hardcover books to your selection. Interested in buying the whole series.,Products Offered/Availability
8/4/2022,Neutral,For some reason there are 2 wish lists for one of my kids. There isn't a place where I can manage the wish lists to delete the duplicate.,Website Performance/Navigation
8/4/2022,Neutral,"very difficult to find the gift cards.  i had to search for it, as it was not found in the bonus   points catalog.",Bonus Points/Rewards/Promos
8/4/2022,Disappointed,There is a poor/limited selection of book for young Christian readers.,Products Offered/Availability
8/18/2022,Neutral,The search feature didn't work as well as I had hoped.  It took several searches to pull the books that I was interested in.,Website Performance/Navigation
8/18/2022,Neutral,"I am not a teacher and it always shows I am. I dont know hot to edit the profile, its just hard to naviegate on the website. Last time I had a hard time. Today it was easier but still I think its confusing.",Website Performance/Navigation
8/18/2022,Neutral,"The site is confusing.  I am a teacher and I could to figure out how to enter the order as the teacher.  Therefore, I am not sure if I am going to get the bonus points, 5 free books or the $10.00. I WILL BE CALLING IN THE MORNING.",Website Performance/Navigation
8/18/2022,Neutral,It was so easy.. I matched the paper from the teacher to the one on the website and chose the exact books my son had circled.,Thanks/Praise
8/18/2022,Very Satisfied,"Wish the prices on some books were a little less, but overall fair.",Price
8/18/2022,Neutral,Scholastic Book Clubs has been a wonderful resource to promote learning and reading. I was extremely disappointed to see the site is disciminating against my children by race. There is a category specifically for black voices but not one for the race of my children. This is an indirect form of bullying to my children.,Products Offered/Availability
8/18/2022,Satisfied,I wish there was a way to narrow down discounted books when searching,Website Performance/Navigation
8/18/2022,Satisfied,There are some books on the regular site that cannot be found when shopping off a flyer- thats annoying!,Products Offered/Availability
8/18/2022,Neutral,excellent website,Thanks/Praise
8/18/2022,Satisfied,Only wish is that I could search for 1.00 or 2.00 books.,Website Performance/Navigation
8/18/2022,Very Satisfied,I wish more harry potter books were available individually.,Products Offered/Availability
8/18/2022,Very Satisfied,Keep price affordable.,Price
8/18/2022,Neutral,I enjoyed your book selection. The only issue I have with my experience is when I had to   make an account. I saw no option to create a teacher account so I had to create a parent account.,Website Performance/Navigation
8/18/2022,Very Disappointed,Unable to checkout due to an error code 999C.,Website Performance/Navigation
8/18/2022,Neutral,Easy to use!  We found what we were looking for and much more!,Thanks/Praise
8/18/2022,Very Satisfied,make easier to find books,Website Performance/Navigation
8/18/2022,Very Satisfied,quick and easy!,Thanks/Praise
8/18/2022,Very Satisfied,"When I receive flyers to send home with my students, I never have enough! Even though I update my account each year with the number of students I have, the flyers I receive are never enough! I have had 25 students every year for years. This is not a new issue but frustrating enough for me to now say something. First grader parents may order online but their children like to look at the flyer to choose books because it is hands-on and colorful",Kits
8/18/2022,Neutral,One of the items I wanted to order was out of stock.,Products Offered/Availability
8/18/2022,Neutral,"I could not find the books using the online flier, so I had to search by title. It was a little confusing to not be able to see the book my child wanted on the flier.",Website Performance/Navigation
8/18/2022,Satisfied,Can hardly wait to receive the books,Thanks/Praise
8/18/2022,Neutral,I’m a retired teacher. I would like to be able to delete my old teacher account so it is easier to access my grandchildren’s teacher accounts. It always seems to be a bit of a challenge to get into their teachers accounts as you want my order to be on my old teacher account.,Website Performance/Navigation
8/18/2022,Neutral,"It was somewhat difficult to figure out that I needed to search for my teacher's book club, and not my school's book fair.",Website Performance/Navigation
8/18/2022,Disappointed,"Because I used to be a teacher, the site wouldn't let me connect to my daughter's teacher. I had to use a different email address. I also couldn't remove teacher status from my account (I could replace a school, but I'm not at that school anymore).",Website Performance/Navigation
8/18/2022,Neutral,"Once I marked credit card, the form should just come up, not New Card and then click for form.",All Other
8/18/2022,Disappointed,I had friends and family donate money to my classroom so each student could receive a book each month. Each child was sponsored for the year to receive a one dollar book. I could not find them so I don't how many books they will receive now.,Price
8/18/2022,Very Satisfied,Site was extremely easy to use. Great prices!!,Thanks/Praise
8/18/2022,Very Satisfied,Very easy to use and navigate.,Thanks/Praise
8/18/2022,Very Satisfied,I love Scholastic Book Clubs!!,Thanks/Praise
8/18/2022,Satisfied,The Scholastic Book Club has been around when I was a little kid in school & I would order from the company back then. There is a great selection for all ages.,Thanks/Praise
8/18/2022,Neutral,"Very user friendly, no issues finding any info or understanding where to go.",Thanks/Praise
8/18/2022,Very Satisfied,Smooth! And my parents have expressed how easy it was to order too!,Thanks/Praise
8/18/2022,Neutral,"After last year's horrible shipping times and lack of communication, I really hope you are ready to offer some well-priced books. I had an order from September last year that I'm not sure was ever completely filled. After that, I stopped sending home the fliers. You have a lot of making up to do to earn my business back.",Hopeful Shipping Improves this Year
8/18/2022,Satisfied,Wish the site had more  lists for genre of book,Products Offered/Availability
8/18/2022,Satisfied,"I entered in student flyer orders yesterday, and they had disappeared this morning. I had to reenter all the flyer orders.",Website Performance/Navigation
8/18/2022,Satisfied,"I have ordered so many books, I wish the website would let you keep track of which books you have already ordered.",All Other
8/18/2022,Very Satisfied,Excellent! :),Thanks/Praise
8/18/2022,Very Satisfied,A parent was very nice in helping us with our classroom library.,Thanks/Praise
8/18/2022,Very Satisfied,35 years of using Scholastic.,Thanks/Praise
8/18/2022,Neutral,"I had created a wish list for my child a couple of months ago and now I cannot find the wishlist, but I kept being asked to add books to the missing wishlist.",Website Performance/Navigation
8/18/2022,Neutral,would like to see more variety in books,Products Offered/Availability
8/18/2022,Very Satisfied,"I love how easy it is for my students, and myself, to order such wonderful books and other items.",Thanks/Praise
8/18/2022,Satisfied,"Just got confused with the promo. It said free book with 25+ order and up to 3 redeemed. Sounded like it was per promo.  But reads was only for 1, not 3 redeemed.",Website Performance/Navigation
8/18/2022,Neutral,Last year's shipping delays has made me very hesitant to order from Scholastic.,Hopeful Shipping Improves this Year
8/18/2022,Neutral,The website is great and easy to access and loves how it gives recommendations for your child,Thanks/Praise
8/18/2022,Disappointed,Originally built a shopping cart in the scholasticbooks.com store instead of the scholastic book club for school. It was a bit frustrating to not be able to differentiate the different stores at the start of the process.,Website Performance/Navigation
8/18/2022,Very Satisfied,"I was hoping the books The Smart Cookie, The Sour Grape, The Cool Bean Presents: As Cool As It Gets, The Good Egg Talent Show, and hardcover Humpty Dumpty book would be available. I didn't see any journals or sticker books.",Products Offered/Availability
8/18/2022,Neutral,"Birthday bonus coupon expires over summer, but is issued the last day of school.",All Other
8/18/2022,Satisfied,could not find the teachers wish list,Website Performance/Navigation
